file,node_id,side,green_eye_level_argmax,green_eye_level_ev,green_eye_level_p4,green_eye_level_top,vertical_greenery_argmax,vertical_greenery_ev,vertical_greenery_p4,vertical_greenery_top,sky_openness_argmax,sky_openness_ev,sky_openness_p4,sky_openness_top,facade_variation_argmax,facade_variation_ev,facade_variation_p4,facade_variation_top
madison_avenue/north_to_south/09_n00748_S_R.jpg,n00748,R,1,1.9153730824459099,0.03152360956674397,0.5765065876942655,1,1.5955736397764202,0.02030304121805089,0.6723443822128491,3,3.262589556064867,0.16868469885298348,0.3201072939936603,7,4.884064167245786,0.12806880325644673,0.24303187155222122
madison_avenue/south_to_north/02_n00724_N_L.jpg,n00724,L,1,1.701435723778462,0.021652024493836308,0.6735746856975552,1,1.3699538492878274,0.009420717402562553,0.8091919434402555,3,3.0758495551903033,0.13534016298709736,0.28651510612062575,7,4.354459082733749,0.13726609761745504,0.18471172422212298
1st_avenue_west_branch/south_to_north/2_n00028_N_L.jpg,n00028,L,1,3.135824324981437,0.09321513449190162,0.27397448964292964,1,2.1697779030728825,0.043516061266461174,0.5301341195596521,3,3.4568657710612083,0.14366920510186854,0.25214730111311445,3,3.905125433220422,0.14328700269359226,0.1811317229935322
east_42nd_street/east_to_west/35_n00652_W_L.jpg,n00652,L,1,1.7415282145012743,0.015702985474689304,0.7219644170957772,1,1.4996261012642649,0.013424894805632092,0.744517076875226,3,2.931392336479876,0.1341544065751217,0.3168303167519511,7,5.06403735862137,0.12202339672694838,0.3020108243046319
east_39th_street/west_to_east/35_n00536_E_L.jpg,n00536,L,1,1.8458171903986045,0.030353696534326298,0.5817514236328707,1,1.7634827978466472,0.031387584003947734,0.5830584297596896,3,2.951195302548382,0.13572879231634763,0.31068627769884327,7,4.541266982392342,0.1393636097934919,0.19348720618335669
madison_avenue/south_to_north/16_n00738_N_L.jpg,n00738,L,1,1.6035467102948315,0.016485540310376894,0.7346238559505567,1,1.485875340456789,0.016231347678637723,0.7346869501481486,3,2.905809493599807,0.13254475998890378,0.29406340470748543,7,4.737368315608517,0.12433033027315986,0.24726037824319366
east_42nd_street/east_to_west/28_n00659_W_L.jpg,n00659,L,1,2.210287175017325,0.0556658364001933,0.4588583756510952,1,1.830037903645719,0.0375127619368947,0.5777008881234299,3,3.316936792710217,0.1632735280104089,0.3003059843806895,5,4.707408080787042,0.14876249379480694,0.20333422911406246
east_40th_street/east_to_west/44_n00551_W_R.jpg,n00551,R,1,1.821435959421449,0.02217466103142774,0.6582437391200261,1,1.3527170490393037,0.009178965129194876,0.8008424870016825,3,3.0458539290979267,0.14599428461179184,0.31393702392553313,7,4.6749499899488285,0.14369065072072015,0.2157051989528652
east_38th_street/east_to_west/32_n00470_W_L.jpg,n00470,L,3,2.913341360903091,0.1402315967667648,0.3015453196283132,1,2.0266028110719416,0.0522867970590766,0.43779195925317,3,3.7797197010801202,0.18264801607735287,0.2657513059920162,7,4.762533678735441,0.1397540070816352,0.22332626947869935
east_41st_street/east_to_west/31_n00608_W_L.jpg,n00608,L,1,1.8117400143527398,0.02356783834952089,0.647023721182322,1,1.6600471649522939,0.02513538285752389,0.6381998758301574,3,2.764540464940586,0.10933725443766731,0.26641686871210096,5,4.5403587629210715,0.14821052792899955,0.19634704511865056
lexington_avenue/north_to_south/20_n00702_S_R.jpg,n00702,R,1,2.265753980590667,0.05987860657549896,0.40919603162381074,1,1.7687526372828946,0.030491171127198555,0.5935890148630841,5,4.457705475831889,0.17229851983874553,0.30239334451987804,5,4.73351690179306,0.14537355294311366,0.20500957627831554
madison_avenue/north_to_south/34_n00723_S_R.jpg,n00723,R,1,2.3207716777672887,0.06543209612674306,0.38848823471143584,1,1.8128958278643115,0.035350536059075,0.5616835370957263,3,3.1603144096418987,0.16473028219995828,0.3276052865040364,7,4.987291827422466,0.1373334349884379,0.24482333631997222
3rd_avenue/south_to_north/33_n00112_N_L.jpg,n00112,L,1,1.7509128716602091,0.021698334052813312,0.6750153279704328,1,1.603481587464056,0.019541474873252505,0.6997087013030048,3,3.7874610447821198,0.20742992882392125,0.2791274879081693,7,5.3694411162195665,0.1098092924799796,0.3278299965243274
east_34th_street/west_to_east/06_n00272_E_L.jpg,n00272,L,2,2.727480241026742,0.11744985498013548,0.2999187284329251,1,2.2426181621751367,0.07169979667742886,0.33153649618385916,3,3.263616176168962,0.16634584015436904,0.3206399942606458,5,4.50801473079953,0.17155221164646267,0.2202774104912922
madison_avenue/south_to_north/17_n00739_N_R.jpg,n00739,R,1,1.97933294315388,0.030893105939455108,0.5920896084123914,1,1.848616105824502,0.03663429473456992,0.5820810925365139,3,3.4414712972689716,0.17383480908719579,0.3050896058761843,3,4.4058721648182475,0.13748162272975295,0.1821335536496282
east_39th_street/west_to_east/46_n00547_E_L.jpg,n00547,L,1,1.7793518153660906,0.032391664623309044,0.5227749472895326,1,1.4336027225337629,0.012044254331858668,0.6891525592921941,5,4.852128135978256,0.17080534363200586,0.37307315077747694,3,3.948556418265013,0.16595609311262943,0.2452671966823359
tunnel_approach_street/south_to_north/04_n00159_N_R.jpg,n00159,R,1,1.6699497355677297,0.02309664281264149,0.6645181253659519,1,1.2661696577826655,0.0070151237604243735,0.8365767925543909,1,2.136644805735124,0.06462610465752039,0.44163930480983515,1,2.6263737662011697,0.11244494235633858,0.31047042443116935
east_42nd_street/west_to_east/35_n00675_E_R.jpg,n00675,R,1,2.2502294309200623,0.06465304888072197,0.37205263280843803,1,1.8438513684329654,0.032385219299833186,0.547754469676961,3,3.9298868349703504,0.22193365408577256,0.2762008723195851,7,4.838443809956509,0.13458140199915877,0.23619772822893517
east_35th_street/west_to_east/07_n00320_E_L.jpg,n00320,L,2,2.542851904408291,0.10221984566747391,0.31981757326838733,1,2.0942152979559747,0.05840793319004339,0.3577919668119749,5,3.9222284308584143,0.22447311068312897,0.27503018618778596,5,4.325181988645683,0.17013466786331413,0.2084533569943581
3rd_avenue/south_to_north/14_n00093_N_L.jpg,n00093,L,1,1.9022670230248628,0.037046049052536244,0.5443877342793276,1,1.4622393257023956,0.015212378759057794,0.732973457098753,3,3.533510409719968,0.17686675789539016,0.2916039808684251,7,4.798875938804839,0.13484924038275947,0.2366677842041827
