file,field,typology,n_keep,keep,gap,ev1,evp,ev2,top1,top2,final,rounds
2nd_avenue/south_to_north/025_n00070_N_R.jpg,vertical_greenery,avenue_secondary,2,2;3,0,2.6821521879173815,2.5926665663719177,2.4687907695770264,3,2,2,2
2nd_avenue/south_to_north/025_n00070_N_R.jpg,sky_openness,avenue_secondary,3,1;2;3,0,2.5606784485280514,1.863877683877945,1.883633404970169,2,1,1,3
2nd_avenue/south_to_north/025_n00070_N_R.jpg,vertical_hardscape,avenue_secondary,3,4;5;6,0,4.856612539850175,5.0,5.406480580568314,5,6,6,3
2nd_avenue/south_to_north/025_n00070_N_R.jpg,green_softening,avenue_secondary,3,2;3;5,1,3.52033194899559,3.1724295914173126,2.7932356372475624,3,3,2,3
Tunnel_Exit_Street/south_to_north/006_n00251_N_R.jpg,vertical_greenery,other,1,1,0,1.739371182397008,1.0,1.0,1,1,1,1
Tunnel_Exit_Street/south_to_north/006_n00251_N_R.jpg,sky_openness,other,2,1;2,0,2.185010576620698,1.437823474407196,1.3486452102661133,1,1,1,2
Tunnel_Exit_Street/south_to_north/006_n00251_N_R.jpg,vertical_hardscape,other,3,4;5;6,0,4.905609940644354,5.093737721443176,5.670701116323471,5,6,6,2
Tunnel_Exit_Street/south_to_north/006_n00251_N_R.jpg,green_softening,other,3,2;3;5,1,3.325459446758032,3.139389157295227,2.7084860652685165,2,2,2,3
Tunnel_Exit_Street/south_to_north/004_n00249_N_L.jpg,vertical_greenery,other,2,3;4,0,3.6137684979476035,3.5,3.4073336124420166,3,3,3,2
Tunnel_Exit_Street/south_to_north/004_n00249_N_L.jpg,sky_openness,other,3,1;2;3,0,2.8384686410427094,2.0332755893468857,2.1052433252334595,2,2,2,3
Tunnel_Exit_Street/south_to_north/004_n00249_N_L.jpg,vertical_hardscape,other,4,3;4;5;6,0,4.726201727986336,4.629275918006897,4.824360154569149,5,5,5,2
Tunnel_Exit_Street/south_to_north/004_n00249_N_L.jpg,green_softening,other,3,3;4;5,0,4.428301252424717,4.238068044185638,4.029379293322563,5,4,4,2
1st_avenue/south_to_north/036_n00035_N_R.jpg,vertical_greenery,avenue_secondary,3,2;3;4,0,2.977010271511972,2.900482714176178,2.6297205090522766,3,3,3,3
1st_avenue/south_to_north/036_n00035_N_R.jpg,sky_openness,avenue_secondary,4,4;5;6;7,0,4.9065526789054275,5.460870787501335,6.128447130322456,6,7,7,3
1st_avenue/south_to_north/036_n00035_N_R.jpg,vertical_hardscape,avenue_secondary,4,4;5;6;7,0,4.953870875760913,5.467314511537552,6.292851954698563,5,7,7,2
1st_avenue/south_to_north/036_n00035_N_R.jpg,green_softening,avenue_secondary,3,3;4;5,0,4.072250695899129,4.0,3.761635273694992,3,4,3,3
east_42nd_street/west_to_east/014_n00654_E_R.jpg,vertical_greenery,mid_block,1,1,0,1.710189899429679,1.0,1.0,1,1,1,1
east_42nd_street/west_to_east/014_n00654_E_R.jpg,sky_openness,mid_block,2,1;2,0,2.2780807595700026,1.5,1.3775407075881958,1,1,1,2
east_42nd_street/west_to_east/014_n00654_E_R.jpg,vertical_hardscape,mid_block,3,5;6;7,0,5.3030341155827045,5.859301298856735,6.840105149894953,5,7,7,2
east_42nd_street/west_to_east/014_n00654_E_R.jpg,green_softening,mid_block,3,1;2;3,0,3.1197771541774273,2.075962632894516,1.8351574540138245,2,2,1,3
Park_Ave_Tunnel_Segment/west_to_east/016_n00178_E_R.jpg,vertical_greenery,avenue_canyon,3,4;5;6,0,4.984813425806351,5.105243504047394,5.415473014116287,5,5,6,3
Park_Ave_Tunnel_Segment/west_to_east/016_n00178_E_R.jpg,sky_openness,avenue_canyon,2,2;3,0,3.139695154502988,2.5312092900276184,2.5,3,2,2,2
Park_Ave_Tunnel_Segment/west_to_east/016_n00178_E_R.jpg,vertical_hardscape,avenue_canyon,3,3;4;5,0,4.473596970550716,4.2628143429756165,4.294464081525803,5,5,5,3
Park_Ave_Tunnel_Segment/west_to_east/016_n00178_E_R.jpg,green_softening,avenue_canyon,2,5;6,0,5.168957007932477,5.3775405287742615,5.622459501028061,5,6,6,2
1st_avenue/north_to_south/041_n00005_S_L.jpg,vertical_greenery,avenue_secondary,2,2;3,0,2.8719529076479375,2.679178774356842,2.5,3,2,2,2
1st_avenue/north_to_south/041_n00005_S_L.jpg,sky_openness,avenue_secondary,4,2;3;4;5,0,3.8820319920778275,3.5369666069746017,3.8336810171604156,4,4,4,3
1st_avenue/north_to_south/041_n00005_S_L.jpg,vertical_hardscape,avenue_secondary,3,5;6;7,0,5.216464817523956,5.955847263336182,6.763962768018246,5,7,7,2
