city,file,node_id,street,walk,side,seq,cardinal,nat_built,GVI_eye,GMI,V_sign,SVF,SFV,V_pave,GFAPI,IAS,I_raw,I,Y,D_raw,D,HW_effective,Omega,a,b,c,M,M_local,M_noA,M_local_noA,I_local,D_local,Omega_local
"Murray Hill, Manhattan",1st_avenue/north_to_south/001_n00045_S.jpg,n00045,1st_avenue,north_to_south,W,1,S,0.19073034910936998,0.20176439272948513,0.2159842845326716,0.5608614232209738,0.6907962771458118,0.8113696601184909,0.69524697110904,0.767554628038301,0.0543267365153279,0.2028263421238422,0.508478213678112,0.5604782687312175,0.5057094452208897,0.5213973429476749,0.5367320941078925,1.0,0.4,0.2,0.4,0.523706809783885,0.3303861883367921,0.523706809783885,0.3303861883367921,0.23115695359657437,0.36255037382933886,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/002_n00044_S.jpg,n00044,1st_avenue,north_to_south,W,2,S,0.41927394003897483,0.502618135376756,0.5478106611284183,0.48353269537480054,0.7855124632296021,0.7908220720720721,0.6778525771793825,0.7281327543424316,0.11870600974553329,0.48990091218138304,0.9700788261267788,0.4962807680724235,0.5082304470891158,0.5308250347290547,0.5367320941078925,1.0,0.4,0.2,0.4,0.6665747493153061,0.5617321726785495,0.6665747493153061,0.5617321726785495,0.9040541184528634,0.3713343234947497,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/003_n00043_S.jpg,n00043,1st_avenue,north_to_south,W,3,S,0.1967625368383055,0.2403413456261662,0.22040288093630434,0.44924366684891565,0.6902573529411765,0.7478689006466784,0.7080501132880181,0.7349142729904253,0.06415626856803325,0.219168921133592,0.5572545293257641,0.5022850715181392,0.5023735516154922,0.5088998784592196,0.5367320941078925,1.0,0.4,0.2,0.4,0.5263376484540894,0.338444617339748,0.5263376484540894,0.338444617339748,0.2678263348631063,0.3510674906982735,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/004_n00042_S.jpg,n00042,1st_avenue,north_to_south,W,4,S,0.22441487951065336,0.34321950740849766,0.3412284678150499,0.634465437097016,0.5153922542204569,0.7170652614511552,0.7756410256410257,0.7434649875977867,0.11128167641325537,0.3029542849114003,0.7747712756268298,0.6120461481092381,0.5434625632173559,0.6574471545120469,,1.0,0.45,0.15,0.4,0.7003095444463358,0.515572296251725,0.7003095444463358,0.515572296251725,0.49993634957023486,0.5004962350211172,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/005_n00041_S.jpg,n00041,1st_avenue,north_to_south,W,5,S,0.22307686238352178,0.3014442052386079,0.24223210364514713,0.41050179211469534,0.6673907796282886,0.7511255296610169,0.7340493407060825,0.715820065706343,0.1407018694653985,0.2555843904224256,0.6608339270328398,0.4980788473824745,0.530190425292608,0.611318148724465,0.5367320941078925,1.0,0.4,0.2,0.4,0.6053457085634778,0.4210634572642614,0.6053457085634778,0.4210634572642614,0.3615383854801387,0.45088461503362576,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/006_n00040_S.jpg,n00040,1st_avenue,north_to_south,W,6,S,0.2947027627583253,0.49074618096357225,0.6622533748701973,0.5023489932885905,0.5173769660071029,0.7054090124038311,0.7696762696762698,0.7466029723991507,0.1334581995481032,0.48256743953069825,0.9674160644719971,0.5634603465617729,0.5499124805411746,0.6788925811355352,,1.0,0.45,0.15,0.4,0.7742405468023543,0.6747641042409334,0.7742405468023543,0.6747641042409334,0.8961446946397821,0.5246633928004967,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/007_n00039_S.jpg,n00039,1st_avenue,north_to_south,W,7,S,0.2668830405223936,0.3441633008632296,0.26153683319221005,0.4384057971014493,0.6662448078920041,0.7664203612479475,0.7868175765645806,0.6996223196881091,0.0697344914679973,0.2908610581926111,0.7484443656911592,0.5128604501524642,0.5187247959068957,0.569759978328852,0.5367320941078925,1.0,0.4,0.2,0.4,0.6222149290677291,0.44987410043092446,0.6222149290677291,0.44987410043092446,0.46372053929198065,0.40876296552292346,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/008_n00038_S.jpg,n00038,1st_avenue,north_to_south,W,8,S,0.2816572653295476,0.3450499910730227,0.3453125000000001,0.5546096345514949,0.5368099976308932,0.6856714178544636,0.786289500509684,0.6884846600331674,0.10914502164502167,0.3240065854675234,0.8157897697568499,0.5678236849250218,0.5279730607292911,0.6033865508593387,,1.0,0.45,0.15,0.4,0.6848263945441468,0.5119261281650203,0.6848263945441468,0.5119261281650203,0.5627604918441712,0.4426639200196218,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/009_n00037_S.jpg,n00037,1st_avenue,north_to_south,W,9,S,0.22268063247129308,0.2566607894994613,0.1849115255858441,0.48352619736419156,0.7101172273190621,0.7857229061066859,0.7939007715597226,0.7581689579597529,0.04155344202898551,0.22141764918553283,0.5639015822924012,0.5197106253839384,0.531207723849487,0.6149377083488415,0.5367320941078925,1.0,0.4,0.2,0.4,0.5743360731613787,0.38088176675465685,0.5743360731613787,0.38088176675465685,0.27315095370330467,0.4546654341273083,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/010_n00036_S.jpg,n00036,1st_avenue,north_to_south,W,10,S,0.26610000379088666,0.3698630136986301,0.3386737872719181,0.5453580097087379,0.5935821317500708,0.7615792934986847,0.7939270408696562,0.7302480717114864,0.0953703703703704,0.32487893492047826,0.8173576990931908,0.5711183904857839,0.539848494317171,0.6451362025982618,0.5367320941078925,1.0,0.4,0.2,0.4,0.692102881756518,0.5336542010018493,0.692102881756518,0.5336542010018493,0.5653345925899813,0.48694644370850027,1.0
