file,node_id,side,GVI,VEI,face_id,variant,vertical_greenery,green_eye_level,enclosure
3rd_avenue/north_to_south/24_n00090_S_L.jpg,n00090,L,0.4190831161712532,0.8948716968585668,f3,solo,1.0,1.0,3.0
3rd_avenue/north_to_south/12_n00102_S_L.jpg,n00102,L,2.0959043738188905,0.8999478600475814,f3,solo,2.0,3.0,3.0
Park_Ave_East/north_to_south/23_n00116_S_L.jpg,n00116,L,4.783022970259078,0.849431576972012,f4,solo,1.0,1.0,3.0
Park_Ave_East/north_to_south/17_n00122_S_L.jpg,n00122,L,27.14064845671448,0.9079806916925328,f4,solo,2.0,3.0,3.0
tunnel_approach_street/north_to_south/20_n00155_S_L.jpg,n00155,L,0.7621592619073215,0.8758170193389012,f8,solo,1.0,1.0,3.0
tunnel_approach_street/north_to_south/13_n00169_S_L.jpg,n00169,L,3.4861813959930577,0.4844191708171872,f8,solo,2.0,3.0,3.0
Tunnel_Exit_Street/north_to_south/04_n00263_S_L.jpg,n00263,L,0.0726668517417627,0.9463748601763798,f14,solo,1.0,1.0,3.0
east_34th_street/east_to_west/43_n00271_W_L.jpg,n00271,L,0.804102844016135,0.9286648141011012,f15,solo,1.0,2.0,3.0
east_34th_street/east_to_west/39_n00275_W_L.jpg,n00275,L,2.963876855242445,0.842386350529492,f15,solo,1.0,1.0,5.0
east_34th_street/east_to_west/21_n00293_W_L.jpg,n00293,L,4.605819468588085,0.9021663011273394,f15,solo,1.0,2.0,3.0
east_34th_street/east_to_west/12_n00302_W_L.jpg,n00302,L,3.9651415129373992,0.637960909408509,f15,solo,1.0,1.0,3.0
east_34th_street/east_to_west/03_n00311_W_L.jpg,n00311,L,2.7339123969347554,0.8770408971159032,f15,solo,2.0,3.0,3.0
east_34th_street/east_to_west/02_n00312_W_L.jpg,n00312,L,1.61686151884395,0.8388295087366558,f15,solo,1.0,3.0,3.0
east_35th_street/east_to_west/41_n00320_W_L.jpg,n00320,L,1.6649049454125913,0.8927107947993884,f16,solo,1.0,1.0,3.0
east_35th_street/east_to_west/38_n00323_W_L.jpg,n00323,L,7.672129977676141,0.869035711668921,f16,solo,1.0,2.0,3.0
east_35th_street/east_to_west/37_n00324_W_L.jpg,n00324,L,2.6464796630257235,0.8793977119839457,f16,solo,1.0,3.0,3.0
