file,street,walk,seq,node_id,cardinal,side,facade_variation,green_eye_level,green_softening,ground_floor_activity,resting_affordance,signage_detail,sky_openness,vertical_greenery,vertical_hardscape,walkable_ground
1st_avenue/north_to_south/001_n00045_S_L.jpg,1st_avenue,north_to_south,1,n00045,S,L,4.74331550802139,2.376670229823624,2.8975199543899657,4.893623942745608,1.3163231382978722,2.7918215613382897,5.708369565217391,1.8890219995643651,4.566622516556292,3.4179104477611943
1st_avenue/north_to_south/001_n00045_S_R.jpg,1st_avenue,north_to_south,1,n00045,S,R,5.571623465211459,2.6421608448415923,3.407104684061616,5.498367080339647,1.846470333477696,4.572408897302414,3.5397074190177635,2.2160475030450666,5.561582259514534,3.9171641791044776
1st_avenue/north_to_south/002_n00044_S_L.jpg,1st_avenue,north_to_south,2,n00044,S,L,4.263522884882108,3.9443333333333332,4.022402757262432,4.160603980782429,1.268032403801215,1.9589552238805972,6.120931787784217,3.4757603475874683,3.6632034632034634,3.7539729252501473
1st_avenue/north_to_south/002_n00044_S_R.jpg,1st_avenue,north_to_south,2,n00044,S,R,5.543933054393305,4.0691244239631335,4.452934955050238,5.1148610323312536,1.4880161127895266,4.435675408213755,4.33534743202417,3.5066739308090438,5.3091206179441475,4.308185200496073
1st_avenue/north_to_south/003_n00043_S_L.jpg,1st_avenue,north_to_south,3,n00043,S,L,4.691321942446043,3.2564782096584217,4.143583227445998,4.3822023047375165,1.7415273384545866,3.083759339362957,5.733119304059652,2.2582189594637727,4.542536615768152,4.420627222761073
1st_avenue/north_to_south/003_n00043_S_R.jpg,1st_avenue,north_to_south,3,n00043,S,R,4.8145263157894735,2.8710700132100397,3.495791518290709,3.8713804713804714,1.9535108958837772,3.8780276816608996,2.21776,2.274678837052062,5.609299097848716,4.394809688581315
1st_avenue/north_to_south/004_n00042_S_L.jpg,1st_avenue,north_to_south,4,n00042,S,L,4.362898376428142,2.2748081841432226,2.6434701492537314,3.8007846556233655,1.323440896171209,4.263542795232936,4.5990829346092506,1.3824623560673164,4.007923497267759,3.845189975747777
1st_avenue/north_to_south/004_n00042_S_R.jpg,1st_avenue,north_to_south,4,n00042,S,R,5.1052526062550125,3.1058273776800442,3.708282582216809,4.835142857142857,2.61394422310757,4.275845410628019,2.362373737373737,2.315944355270198,5.700660699062234,4.605794270833334
1st_avenue/north_to_south/005_n00041_S_L.jpg,1st_avenue,north_to_south,5,n00041,S,L,4.607817418677859,3.8529411764705883,4.6511988716502115,4.234668335419275,2.528712871287129,1.9553846153846155,5.543744120413923,2.8632972322503005,4.139383726528647,4.610308601444517
1st_avenue/north_to_south/005_n00041_S_R.jpg,1st_avenue,north_to_south,5,n00041,S,R,4.755045871559633,2.801416707376649,3.509507042253521,3.828101071975498,1.6390008058017727,4.193734793187348,2.8523995535714284,2.3963004484304933,5.6362895716946,3.4534821903242956
1st_avenue/north_to_south/006_n00040_S_L.jpg,1st_avenue,north_to_south,6,n00040,S,L,4.133350730688935,2.4148418491484187,2.938825448613377,3.647330257086354,1.3801971326164875,1.3703410689170186,4.580342577487765,2.0862442784871114,3.645772594752186,3.2627906976744185
1st_avenue/north_to_south/006_n00040_S_R.jpg,1st_avenue,north_to_south,6,n00040,S,R,4.754894283476899,3.529738302934179,4.694533762057878,5.16104118993135,2.6732891832229586,3.0897563401292896,2.3032292405961674,2.9211156332295904,5.86534253492678,4.692729766803841
