city,file,node_id,street,walk,side,seq,cardinal,nat_built,GVI_eye,GMI,V_sign,SVF,SFV,V_pave,GFAPI,IAS,I_raw,I,Y,D_raw,D,HW_effective,Omega,a,b,c,M,M_local,M_noA,M_local_noA,I_local,D_local,Omega_local
"Murray Hill, Manhattan",1st_avenue/north_to_south/001_n00045_S_L.jpg,n00045,1st_avenue,north_to_south,L,1,S,0.29261555447286636,0.22944503830393734,0.31625332573166093,0.29863692688971494,0.7847282608695653,0.6238859180035651,0.4029850746268657,0.6489373237909346,0.05272052304964536,0.27943797283615485,0.721769448796902,0.37926486134123827,0.36821430715581516,0.1216619342498057,0.5367320941078925,1.0,0.4,0.2,0.4,0.31132199607227606,0.18763189378145093,0.31132199607227606,0.18763189378145093,0.26902227196193457,0.09204646516349196,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/001_n00045_S_R.jpg,n00045,1st_avenue,north_to_south,R,1,S,0.28492581553737656,0.2736934741402654,0.4011841140102694,0.5954014828837356,0.4232845698362939,0.7619372442019099,0.4861940298507463,0.7497278467232745,0.14107838891294933,0.31993446789597046,0.8083328456389578,0.6446847190831172,0.45900008849565666,0.3509197781119558,0.5367320941078925,1.0,0.4,0.2,0.4,0.5533357169775525,0.37342645829269566,0.5533357169775525,0.37342645829269566,0.37434274915925475,0.28351079548452274,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/002_n00044_S_L.jpg,n00044,1st_avenue,north_to_south,L,2,S,0.48687182617926533,0.4907222222222222,0.503733792877072,0.1598258706467662,0.8534886312973695,0.5439204808136847,0.4589954875416912,0.5267673301304048,0.04467206730020249,0.49377594709285316,0.9713994374924564,0.2834192400543605,0.34347829499076615,0.08723876256298058,0.5367320941078925,1.0,0.4,0.2,0.4,0.2895534898093238,0.24204808368765254,0.2895534898093238,0.24204808368765254,0.8281349959441812,0.06537900687632661,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/002_n00044_S_R.jpg,n00044,1st_avenue,north_to_south,R,2,S,0.397771739281854,0.511520737327189,0.5754891591750396,0.5726125680356259,0.555891238670695,0.7573221757322175,0.5513642000826788,0.6858101720552089,0.08133601879825443,0.49492721192802747,0.9717807691724291,0.5913478350323828,0.43950346364538073,0.28752232983509773,0.5367320941078925,1.0,0.4,0.2,0.4,0.5405857009568397,0.46259760351347273,0.5405857009568397,0.46259760351347273,0.8300923702642136,0.228013477805661,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/003_n00043_S_L.jpg,n00043,1st_avenue,north_to_south,L,3,S,0.3320541275866632,0.37607970160973697,0.5239305379076663,0.3472932232271595,0.7888532173432754,0.6152203237410072,0.5701045371268455,0.5637003841229195,0.12358788974243111,0.4106881223680221,0.9260991839450124,0.39122010987496375,0.4191309369973987,0.22916431632200307,0.5367320941078925,1.0,0.4,0.2,0.4,0.44586772084688353,0.34818763718603046,0.44586772084688353,0.34818763718603046,0.640011250254962,0.17870437040146891,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/003_n00043_S_R.jpg,n00043,1st_avenue,north_to_south,R,3,S,0.2885191784952262,0.31184500220167327,0.4159652530484515,0.4796712802768166,0.20296000000000003,0.6357543859649123,0.5658016147635525,0.4785634118967452,0.15891848264729622,0.33877647791511695,0.8409505548074803,0.6374885554139096,0.4010945031025313,0.18488692055317923,0.5367320941078925,1.0,0.4,0.2,0.4,0.43407536454818063,0.29860256526510137,0.43407536454818063,0.29860256526510137,0.42860946494905156,0.14237570331231741,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/004_n00042_S_L.jpg,n00042,1st_avenue,north_to_south,L,4,S,0.2564681627034131,0.2124680306905371,0.27391169154228856,0.5439237992054893,0.5998471557682085,0.5604830627380237,0.4741983292912962,0.4667974426038943,0.05390681602853483,0.2476159616454129,0.6390842036422233,0.5015199020584348,0.3316341959745751,0.07409064532143293,,1.0,0.45,0.15,0.4,0.2602853436476105,0.13754166369892823,0.2602853436476105,0.13754166369892823,0.20077575030843475,0.055325768330453697,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/004_n00042_S_R.jpg,n00042,1st_avenue,north_to_south,R,4,S,0.2888934080666213,0.3509712296133407,0.4513804303694682,0.5459742351046698,0.2270622895622895,0.6842087677091687,0.6009657118055557,0.6391904761904762,0.2689907038512616,0.3637483560164767,0.8770709221802548,0.667706904417183,0.5030489639490978,0.5114316223079765,,1.0,0.45,0.15,0.4,0.678529184207371,0.49467605109753254,0.678529184207371,0.49467605109753254,0.5030339073272743,0.433796052354269,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/005_n00041_S_L.jpg,n00041,1st_avenue,north_to_south,L,5,S,0.4088858608731436,0.4754901960784314,0.6085331452750352,0.15923076923076926,0.7572906867356538,0.6013029031129765,0.6017181002407529,0.5391113892365458,0.2547854785478549,0.4976364007422034,0.9726587515548795,0.33441432853603065,0.46520498934171783,0.37240217722395524,0.5367320941078925,1.0,0.4,0.2,0.4,0.5351136871330411,0.463352813545579,0.5351136871330411,0.463352813545579,0.8346285079335833,0.3027916244740591,1.0
"Murray Hill, Manhattan",1st_avenue/north_to_south/005_n00041_S_R.jpg,n00041,1st_avenue,north_to_south,R,5,S,0.29832226497639364,0.30023611789610816,0.4182511737089201,0.5322891321978913,0.3087332589285714,0.6258409785932723,0.4089136983873826,0.47135017866258305,0.10650013430029544,0.33893651886047393,0.84120725758096,0.6164656172875307,0.32892133711675364,0.0713469939764345,0.5367320941078925,1.0,0.4,0.2,0.4,0.2946410463953212,0.2002085426017323,0.2946410463953212,0.2002085426017323,0.4290798641420788,0.05323704563623635,1.0
