file,label
leadenhall_market/east_to_west/002_n00887_W_F.jpg,street
leadenhall_market/east_to_west/003_n00888_W_F.jpg,street
leadenhall_market/east_to_west/001_n00886_W_F.jpg,street
bishopsgate_arcade/east_to_west/003_n00176_N_F.jpg,indoor
bishopsgate_arcade/east_to_west/004_n00177_N_F.jpg,indoor
bishopsgate_arcade/east_to_west/001_n00174_W_F.jpg,street
royal_exchange_buildings/north_to_south/001_n01464_S_F.jpg,street
new_change_passage/east_to_west/002_n01243_W_F.jpg,street
new_change_passage/west_to_east/003_n01243_E_F.jpg,indoor
new_change_passage/east_to_west/001_n01244_W_F.jpg,indoor
beehive_passage/north_to_south/001_n00127_S_F.jpg,indoor
beehive_passage/north_to_south/002_n00126_S_L.jpg,indoor
beehive_passage/south_to_north/001_n00126_N_R.jpg,indoor
post_office_court/north_to_south/002_n01356_S_F.jpg,indoor
post_office_court/south_to_north/001_n01356_N_F.jpg,indoor
post_office_court/north_to_south/001_n01357_S_F.jpg,indoor
pancras_lane/west_to_east/004_n01325_E_L.jpg,indoor
dunster_court/south_to_north/004_n00518_E_L.jpg,indoor
cannon_street/west_to_east/040_n00309_E_R.jpg,indoor
dowgate_hill/north_to_south/002_n00513_S_L.jpg,indoor
beehive_passage/north_to_south/002_n00126_S_R.jpg,indoor
abchurch_lane/south_to_north/006_n00005_E_L.jpg,indoor
king_william_street/north_to_south/011_n00846_S_R.jpg,indoor
st_paul_s_churchyard/east_to_west/003_n01506_W_L.jpg,vehicle
fenchurch_street/west_to_east/015_n00567_E_L.jpg,indoor
college_hill/south_to_north/004_n00432_N_L.jpg,indoor
billingsgate_walk/south_to_north/002_n00129_N_R.jpg,indoor
sun_street_passage/south_to_north/005_n01592_N_R.jpg,street
cavendish_court/south_to_north/001_n00353_N_R.jpg,street
bond_court/west_to_east/004_n00199_N_L.jpg,street
lawrence_lane/south_to_north/005_n00885_N_L.jpg,street
eastcheap/west_to_east/004_n00525_E_L.jpg,street
cheapside/west_to_east/010_n00383_S_L.jpg,street
dunster_court/north_to_south/005_n00516_S_R.jpg,indoor
fenchurch_street/west_to_east/015_n00567_E_R.jpg,indoor
cullum_street/north_to_south/001_n00481_S_R.jpg,street
new_change/south_to_north/010_n01240_N_L.jpg,indoor
finch_lane/north_to_south/003_n00574_S_L.jpg,indoor
clements_lane/north_to_south/007_n00393_S_L.jpg,indoor
finsbury_circus/west_to_east/008_n00577_E_R.jpg,street
king_william_street/south_to_north/023_n00847_N_R.jpg,indoor
custom_house_walkway/west_to_east/003_n00489_E_L.jpg,street
cannon_street/west_to_east/012_n00296_E_L.jpg,vehicle
laurence_pountney_hill/south_to_north/001_n00866_W_R.jpg,street
cannon_street/west_to_east/008_n00291_E_L.jpg,vehicle
dark_house_walk/west_to_east/001_n00494_E_F.jpg,street
cousin_lane/north_to_south/006_n00471_S_F.jpg,indoor
abchurch_yard/south_to_north/002_n00010_N_F.jpg,indoor
globe_view_walkway/east_to_west/002_n00662_S_F.jpg,indoor
lovat_lane/north_to_south/002_n01071_S_F.jpg,indoor
king_william_street/south_to_north/021_n00845_N_F.jpg,indoor
new_broad_street/south_to_north/012_n01230_N_F.jpg,indoor
three_cranes_walk/west_to_east/003_n01628_E_F.jpg,indoor
globe_view_walkway/east_to_west/004_n00660_W_F.jpg,street
watling_street/west_to_east/001_n01762_E_F.jpg,indoor
lombard_street/west_to_east/003_n00973_E_F.jpg,indoor
byward_street/west_to_east/012_n00274_E_L.jpg,offstreet_patio
